participant,condition,p1,p2,p3,relation,move,click,completation_time
1,desktop3D,0,4,2,P2 > P3 > P1,0,1,3.733667
1,desktop3D,4,2,2,P1 > P2 = P3,0,3,16.61187
1,desktop2D,4,4,3,P2 = P1 > P3,59.10489,2,11.90994
1,desktop2D,5,1,2,P1 > P3 > P2,57.83775,4,18.29347
1,headset3D,1,1,3,P3 > P1 = P2,16.32909,11,88.12
1,headset3D,3,2,4,P3 > P1 > P2,30.45675,2,5.719994
1,headset2D,4,2,4,P3 = P1 > P2,32.3207,10,22.72703
1,headset2D,4,1,4,P1 = P3 > P2,53.02048,6,38.1651
2,desktop3D,5,5,1,P2 = P1 > P3,0,34,94.29626
2,desktop3D,3561,7,77,P1 > P3 > P2,0,10,28.33008
2,desktop2D,4,12,6,P2 > P3 > P1,0,3,14.03141
2,desktop2D,44,8,8,P1 > P2 = P3,0,3,7.343281
2,headset2D,3,3,4014,P3 > P1 = P2,0.2599959,7,18.53804
2,headset2D,87,11,264,P3 > P1 > P2,0.2599969,4,11.02458
2,headset3D,8,3,8,P3 = P1 > P2,57.30563,18,31.02
2,headset3D,4,1,4,P1 = P3 > P2,42.33443,8,19.18
0,headset2D,0,0,7,P3 > P1 = P2,0.2599959,8,21.9608
0,headset2D,6,4,5,P3 > P1 > P2,0.2599969,4,5.161018
0,headset3D,7,1,4,P3 > P1 = P2,21.44875,11,27.22
0,headset3D,1,1,2,P3 > P1 > P2,37.75826,8,25.5
0,headset3D,61,12,6,P3 > P1 = P2,17.84603,14,25.34
0,headset3D,20,5,5,P3 > P1 > P2,26.37144,6,14.78
0,desktop3D,12,0,15,P3 > P1 = P2,20.59758,5,15.53249
0,desktop3D,20,8,21,P3 > P1 > P2,33.79764,4,21.04824
0,desktop2D,1,3,2,P3 > P1 = P2,29.69389,3,9.986872
0,desktop2D,2,0,8,P3 > P1 > P2,3.900015,6,25.72068
